[root@factory-workspace glideinmonitor]# /usr/bin/python3 /opt/GlideinWMS/glideinmonitor/glideinmonitor/indexer/indexer.py
         4735832 function calls (4735735 primitive calls) in 62.200 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 /usr/lib64/python3.9/shutil.py:697(rmtree)
        1    0.000    0.000    0.000    0.000 {built-in method marshal.loads}
        3    0.000    0.000    0.000    0.000 /usr/lib64/python3.9/argparse.py:2541(_get_formatter)
        3    0.000    0.000    0.000    0.000 /usr/lib64/python3.9/argparse.py:161(__init__)
        1    0.000    0.000    0.000    0.000 /opt/GlideinWMS/glideinmonitor/glideinmonitor/lib/config.py:10(init)
        1    0.000    0.000    0.000    0.000 /usr/lib64/python3.9/threading.py:880(start)
     16/4    0.000    0.000    0.000    0.000 /usr/lib64/python3.9/sre_compile.py:87(_compile)
      3/1    0.000    0.000    0.000    0.000 /usr/lib64/python3.9/shutil.py:636(_rmtree_safe_fd)
        5    0.000    0.000    0.000    0.000 /usr/lib64/python3.9/pathlib.py:1079(__new__)
        1    0.000    0.000    0.000    0.000 {built-in method _sqlite3.connect}
        5    0.000    0.000    0.000    0.000 /usr/lib64/python3.9/pathlib.py:702(_from_parts)
        1    0.000    0.000    0.000    0.000 /usr/lib64/python3.9/threading.py:563(wait)
        6    0.000    0.000    0.000    0.000 {method 'strftime' of 'datetime.date' objects}
      3/2    0.000    0.000    0.000    0.000 /usr/lib64/python3.9/os.py:200(makedirs)
        1    0.000    0.000    0.000    0.000 /usr/lib64/python3.9/threading.py:280(wait)
        5    0.000    0.000    0.000    0.000 /usr/lib64/python3.9/pathlib.py:682(_parse_args)
        5    0.000    0.000    0.000    0.000 /usr/lib64/python3.9/pathlib.py:64(parse_parts)
        2    0.000    0.000    0.000    0.000 /usr/lib64/python3.9/pathlib.py:1262(read_text)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:901(_find_spec)
        5    0.000    0.000    0.000    0.000 {built-in method posix.mkdir}
        6    0.000    0.000    0.000    0.000 {built-in method posix.open}
        3    0.000    0.000    0.000    0.000 {built-in method posix.rmdir}
        6    0.000    0.000    0.000    0.000 /usr/lib64/python3.9/sre_compile.py:292(_optimize_charset)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1415(find_spec)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1383(_get_spec)
        2    0.000    0.000    0.000    0.000 /usr/lib64/python3.9/pathlib.py:1246(open)
        1    0.000    0.000    0.000    0.000 /usr/lib64/python3.9/pathlib.py:1297(touch)
        4    0.000    0.000    0.000    0.000 /usr/lib64/python3.9/sre_compile.py:560(_compile_info)
       17    0.000    0.000    0.000    0.000 {built-in method posix.scandir}
        1    0.000    0.000    0.000    0.000 /opt/GlideinWMS/glideinmonitor/glideinmonitor/lib/config.py:29(dive)
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1514(find_spec)
        1    0.000    0.000    0.000    0.000 /opt/GlideinWMS/glideinmonitor/glideinmonitor/indexer/filter.py:358(filters_still_running)
       13    0.000    0.000    0.000    0.000 /usr/lib64/python3.9/posixpath.py:164(islink)
        1    0.000    0.000    0.000    0.000 {built-in method _thread.start_new_thread}
        1    0.000    0.000    0.000    0.000 /usr/lib64/python3.9/pathlib.py:1122(_raw_open)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1036(get_data)
       99    0.000    0.000    0.000    0.000 /usr/lib64/python3.9/sre_parse.py:165(__getitem__)
        1    0.000    0.000    0.000    0.000 /usr/lib64/python3.9/threading.py:1133(is_alive)
       63    0.000    0.000    0.000    0.000 /usr/lib64/python3.9/sre_parse.py:255(get)
        2    0.000    0.000    0.000    0.000 /usr/lib64/python3.9/argparse.py:1443(add_argument_group)
        1    0.000    0.000    0.000    0.000 {built-in method posix.remove}
       18    0.000    0.000    0.000    0.000 /usr/lib64/python3.9/os.py:674(__getitem__)
        3    0.000    0.000    0.000    0.000 /usr/lib64/python3.9/shutil.py:1342(get_terminal_size)
       11    0.000    0.000    0.000    0.000 {built-in method now}
     18/6    0.000    0.000    0.000    0.000 /usr/lib64/python3.9/sre_parse.py:175(getwidth)
